z_center,z_width,pt_center,pt_width,cos_center,cos_width,nsig,nsig_err,nsig_err2,bin_index
0.32,0.04,0.4375,0.0625,-0.7,0.1,9961.9549,130.9391,130.9391,131
0.32,0.04,0.4375,0.0625,-0.5,0.1,11546.8097,140.2788,140.2788,132
0.32,0.04,0.4375,0.0625,-0.3,0.1,13075.5445,147.9522,147.9522,133
0.32,0.04,0.4375,0.0625,-0.1,0.1,13550.4715,150.3178,150.3178,134
0.32,0.04,0.4375,0.0625,0.1,0.1,13611.1612,150.5099,150.5099,135
0.32,0.04,0.4375,0.0625,0.3,0.1,13008.5812,146.9521,146.9521,136
0.32,0.04,0.4375,0.0625,0.5,0.1,11081.3223,138.3147,138.3147,137
0.32,0.04,0.4375,0.0625,0.7,0.1,9903.4354,130.452,130.452,138
0.32,0.04,0.4375,0.0625,0.9,0.1,7758.739,118.2545,118.2545,139
0.32,0.04,0.5806,0.0806,-0.9,0.1,7156.8875,114.5157,114.5157,140
0.32,0.04,0.5806,0.0806,-0.7,0.1,9064.6604,126.7768,126.7768,141
0.32,0.04,0.5806,0.0806,-0.5,0.1,11078.6115,137.6864,137.6864,142
0.32,0.04,0.5806,0.0806,-0.3,0.1,12570.6943,145.3501,145.3501,143
0.32,0.04,0.5806,0.0806,-0.1,0.1,13311.1438,150.0578,150.0578,144
0.32,0.04,0.5806,0.0806,0.1,0.1,13317.2892,149.9672,149.9672,145
0.32,0.04,0.5806,0.0806,0.3,0.1,12604.4543,146.3792,146.3792,146
0.32,0.04,0.5806,0.0806,0.5,0.1,11320.8247,139.4314,139.4314,147
0.32,0.04,0.5806,0.0806,0.7,0.1,9263.6942,127.7776,127.7776,148
0.32,0.04,0.5806,0.0806,0.9,0.1,7095.4802,113.6793,113.6793,149
0.32,0.04,0.765,0.1038,-0.9,0.1,5424.718,100.851,100.851,150
0.32,0.04,0.765,0.1038,-0.7,0.1,6908.4,110.3125,110.3125,151
0.32,0.04,0.765,0.1038,-0.5,0.1,8279.1565,120.4536,120.4536,152
0.32,0.04,0.765,0.1038,-0.3,0.1,9167.0652,125.9268,125.9268,153
0.32,0.04,0.765,0.1038,-0.1,0.1,9834.8362,130.0751,130.0751,154
0.32,0.04,0.765,0.1038,0.1,0.1,9862.0365,129.0,129.0,155
0.32,0.04,0.765,0.1038,0.3,0.1,9441.6428,126.9201,126.9201,156
0.32,0.04,0.765,0.1038,0.5,0.1,7825.0271,118.931,118.931,157
0.32,0.04,0.765,0.1038,0.7,0.1,6305.3244,107.6245,107.6245,158
0.32,0.04,0.765,0.1038,0.9,0.1,5260.5908,98.7829,98.7829,159
0.32,0.04,1.0027,0.1339,-0.9,0.1,3164.4761,76.8704,76.8704,160
0.32,0.04,1.0027,0.1339,-0.7,0.1,4152.3513,85.6695,85.6695,161
0.32,0.04,1.0027,0.1339,-0.5,0.1,4961.8059,93.0564,93.0564,162
0.32,0.04,1.0027,0.1339,-0.3,0.1,6013.1945,101.2176,101.2176,163
0.32,0.04,1.0027,0.1339,-0.1,0.1,6615.4823,104.7733,104.7733,164
0.32,0.04,1.0027,0.1339,0.1,0.1,6423.3063,103.6435,103.6435,165
0.32,0.04,1.0027,0.1339,0.3,0.1,5760.3286,99.0077,99.0077,166
0.32,0.04,1.0027,0.1339,0.5,0.1,5334.1307,94.8875,94.8875,167
0.32,0.04,1.0027,0.1339,0.7,0.1,4379.64,87.5607,87.5607,168
0.32,0.04,1.0027,0.1339,0.9,0.1,3526.6003,79.066,79.066,169
